Actual,Predicted
M,N
I,B
S,X
S,I
N,M
I,X
S,X
Q,space
H,G
M,N
M,B
J,X
M,N
Z,U
A,T
I,X
R,X
I,H
J,G
U,V
H,X
E,X
V,U
M,C
A,B
J,P
H,space
U,V
N,S
U,R
I,S
N,A
R,U
Q,del
V,U
S,E
O,E
P,G
N,M
M,N
K,X
J,G
J,P
Z,A
W,V
R,C
K,X
H,N
Y,A
space,G
G,J
X,R
P,space
I,S
Z,A
R,M
Q,P
E,S
R,X
R,U
J,H
I,Y
del,N
X,S
G,X
N,M
A,Z
N,M
N,M
R,U
X,S
M,N
W,V
J,X
M,N
E,S
M,T
N,F
N,M
M,N
R,M
A,G
K,B
D,O
Q,P
M,N
N,M
H,J
P,Q
D,K
K,G
K,U
M,N
H,G
M,N
N,A
S,X
M,space
K,U
J,B
J,G
X,O
N,del
N,E
I,X
Y,A
T,Z
J,X
P,Q
O,Z
D,R
W,U
O,Z
W,V
X,S
I,M
space,G
T,Z
U,X
C,Z
W,V
C,Z
M,del
T,del
X,R
U,space
U,W
X,S
J,F
Z,F
R,B
K,U
D,O
X,E
space,del
H,X
V,U
J,Y
R,U
R,X
N,M
Q,P
S,M
U,R
U,R
W,del
H,G
U,W
M,N
U,O
E,M
Q,P
D,R
H,G
R,U
P,J
Z,A
U,B
